year,date,week,month,day,start,end,action,duration,string-start,string-end
2022,2022-09-21,38,09,21,10:15,17:00,Bain test practice,06:45:00,2022-09-21 10:15:00+03:00,2022-09-21 17:00:00+03:00
2022,2022-09-21,38,09,21,17:00,19:00,Bain Online Assesment,02:00:00,2022-09-21 17:00:00+03:00,2022-09-21 19:00:00+03:00
2022,2022-09-21,38,09,21,19:00,20:30,JavaScript,01:30:00,2022-09-21 19:00:00+03:00,2022-09-21 20:30:00+03:00
2022,2022-09-22,38,09,22,09:00,16:00,JavaScript,07:00:00,2022-09-22 09:00:00+03:00,2022-09-22 16:00:00+03:00
2022,2022-09-22,38,09,22,16:00,22:00,Jyväskylä,06:00:00,2022-09-22 16:00:00+03:00,2022-09-22 22:00:00+03:00
2022,2022-09-26,39,09,26,06:30,10:30,"Wake up, gym, admin stuff",04:00:00,2022-09-26 06:30:00+03:00,2022-09-26 10:30:00+03:00
2022,2022-09-26,39,09,26,10:30,13:00,JavaScript,02:30:00,2022-09-26 10:30:00+03:00,2022-09-26 13:00:00+03:00
2022,2022-09-26,39,09,26,13:00,14:00,Lunch,01:00:00,2022-09-26 13:00:00+03:00,2022-09-26 14:00:00+03:00
2022,2022-09-26,39,09,26,14:00,22:00,JavaScript,08:00:00,2022-09-26 14:00:00+03:00,2022-09-26 22:00:00+03:00
2022,2022-09-27,39,09,27,06:30,12:00,JS Algo grinding,05:30:00,2022-09-27 06:30:00+03:00,2022-09-27 12:00:00+03:00
2022,2022-09-27,39,09,27,12:00,13:00,Lunch,01:00:00,2022-09-27 12:00:00+03:00,2022-09-27 13:00:00+03:00
2022,2022-09-27,39,09,27,13:00,15:15,JS Algorhitms,02:15:00,2022-09-27 13:00:00+03:00,2022-09-27 15:15:00+03:00
2022,2022-09-27,39,09,27,15:15,15:45,Anki,00:30:00,2022-09-27 15:15:00+03:00,2022-09-27 15:45:00+03:00
2022,2022-09-27,39,09,27,15:45,20:30,Try to understand React,04:45:00,2022-09-27 15:45:00+03:00,2022-09-27 20:30:00+03:00
2022,2022-09-28,39,09,28,07:45,10:15,wake up & gym,02:30:00,2022-09-28 07:45:00+03:00,2022-09-28 10:15:00+03:00
2022,2022-09-28,39,09,28,10:15,14:30,Migraine :(,04:15:00,2022-09-28 10:15:00+03:00,2022-09-28 14:30:00+03:00
2022,2022-09-28,39,09,28,14:30,20:00,React,05:30:00,2022-09-28 14:30:00+03:00,2022-09-28 20:00:00+03:00
2022,2022-09-28,39,09,28,20:00,21:00,Anki,01:00:00,2022-09-28 20:00:00+03:00,2022-09-28 21:00:00+03:00
2022,2022-09-29,39,09,29,08:00,10:00,Wakey WAKEY,02:00:00,2022-09-29 08:00:00+03:00,2022-09-29 10:00:00+03:00
2022,2022-09-29,39,09,29,10:00,13:45,React,03:45:00,2022-09-29 10:00:00+03:00,2022-09-29 13:45:00+03:00
2022,2022-09-29,39,09,29,13:45,17:00,Redux,03:15:00,2022-09-29 13:45:00+03:00,2022-09-29 17:00:00+03:00
2022,2022-09-29,39,09,29,17:00,17:30,Go home,00:30:00,2022-09-29 17:00:00+03:00,2022-09-29 17:30:00+03:00
2022,2022-09-29,39,09,29,17:30,19:00,Redux,01:30:00,2022-09-29 17:30:00+03:00,2022-09-29 19:00:00+03:00
2022,2022-09-29,39,09,29,19:00,20:00,Anki,01:00:00,2022-09-29 19:00:00+03:00,2022-09-29 20:00:00+03:00
